iter	Passed	Remaining
0	134	133913
1	135	67585
2	136	45426
3	137	34338
4	139	27678
5	140	23243
6	141	20026
7	142	17631
8	143	15761
9	143	14252
10	145	13043
11	146	12045
12	147	11183
13	148	10437
14	149	9795
15	150	9239
16	151	8751
17	152	8316
18	153	7922
19	154	7561
20	155	7239
21	156	6944
22	157	6676
23	158	6433
24	159	6233
25	161	6050
26	162	5858
27	163	5672
28	164	5503
29	165	5342
30	166	5193
31	166	5048
32	167	4914
33	168	4789
34	169	4670
35	170	4561
36	171	4459
37	172	4360
38	173	4266
39	174	4177
40	175	4095
41	176	4016
42	176	3938
43	177	3861
44	178	3790
45	179	3722
46	180	3658
47	181	3596
48	182	3537
49	183	3482
50	184	3429
51	185	3380
52	186	3331
53	187	3283
54	188	3235
55	189	3188
56	190	3144
57	190	3100
58	191	3059
59	192	3019
60	193	2981
61	194	2942
62	195	2907
63	196	2872
64	197	2837
65	198	2802
66	199	2773
67	199	2737
68	200	2708
69	201	2680
70	202	2651
71	203	2622
72	204	2594
73	205	2566
74	206	2540
75	206	2515
76	207	2491
77	208	2468
78	209	2446
79	210	2422
80	211	2403
81	212	2382
82	213	2361
83	214	2339
84	215	2315
85	215	2295
86	216	2272
87	217	2253
88	218	2234
89	219	2216
90	220	2198
91	221	2181
92	222	2165
93	223	2149
94	223	2132
95	224	2118
96	225	2101
97	226	2085
98	227	2070
99	228	2056
100	229	2040
101	229	2022
102	230	2007
103	231	1994
104	232	1981
105	233	1969
106	234	1956
107	235	1942
108	236	1929
109	236	1916
110	237	1905
111	238	1894
112	239	1882
113	240	1870
114	241	1859
115	242	1847
116	243	1837
117	244	1828
118	245	1816
119	246	1805
120	247	1794
121	247	1783
122	248	1770
123	249	1760
124	250	1751
125	251	1741
126	251	1732
127	252	1720
128	253	1712
129	254	1703
130	255	1693
131	256	1684
132	257	1675
133	257	1666
134	258	1657
135	259	1649
136	260	1640
137	261	1631
138	262	1622
139	262	1615
140	263	1608
141	265	1601
142	266	1594
143	266	1587
144	267	1579
145	268	1571
146	269	1563
147	270	1556
148	271	1548
149	271	1541
150	272	1534
151	273	1527
152	274	1520
153	275	1513
154	276	1506
155	277	1500
156	278	1496
157	279	1491
158	280	1485
159	281	1479
160	282	1473
161	283	1467
162	284	1461
163	285	1455
164	286	1450
165	287	1444
166	288	1437
167	289	1431
168	289	1425
169	290	1419
170	292	1415
171	293	1411
172	294	1407
173	295	1402
174	296	1397
175	297	1391
176	298	1385
177	298	1380
178	299	1375
179	300	1370
180	301	1363
181	302	1358
182	303	1353
183	304	1348
184	305	1344
185	305	1339
186	306	1334
187	307	1328
188	308	1323
189	309	1318
190	310	1313
191	311	1309
192	311	1304
193	312	1299
194	313	1294
195	314	1290
196	315	1285
197	316	1281
198	317	1277
199	318	1272
200	319	1268
201	319	1263
202	320	1258
203	321	1254
204	322	1250
205	323	1245
206	324	1241
207	324	1237
208	325	1233
209	326	1229
210	327	1225
211	328	1220
212	329	1216
213	330	1212
214	331	1209
215	331	1204
216	332	1200
217	333	1196
218	334	1192
219	335	1188
220	336	1185
221	337	1181
222	337	1177
223	338	1173
224	339	1170
225	340	1166
226	341	1162
227	342	1158
228	342	1154
229	343	1151
230	344	1147
231	345	1144
232	346	1141
233	347	1137
234	348	1134
235	349	1130
236	350	1126
237	350	1123
238	351	1120
239	352	1116
240	353	1113
241	354	1109
242	355	1107
243	356	1104
244	357	1101
245	358	1098
246	359	1095
247	360	1091
248	360	1088
249	361	1085
250	362	1082
251	363	1078
252	364	1075
253	365	1072
254	366	1069
255	367	1066
256	367	1063
257	368	1060
258	369	1057
259	370	1054
260	371	1052
261	372	1049
262	373	1046
263	374	1043
264	375	1040
265	376	1037
266	376	1034
267	377	1031
268	378	1028
269	379	1025
