iter	Passed	Remaining
0	155	154998
1	156	78256
2	158	52535
3	159	39646
4	160	31895
5	161	26726
6	162	23072
7	163	20327
8	165	18188
9	166	16491
10	167	15103
11	169	13971
12	171	13027
13	173	12185
14	174	11430
15	175	10772
16	177	10264
17	178	9747
18	180	9303
19	182	8945
20	184	8597
21	185	8242
22	187	7956
23	188	7651
24	188	7370
25	189	7116
26	190	6879
27	191	6659
28	192	6452
29	193	6272
30	196	6137
31	197	5986
32	199	5836
33	200	5699
34	201	5561
35	202	5435
36	204	5309
37	205	5190
38	206	5081
39	207	4984
40	209	4906
41	211	4816
42	213	4742
43	214	4666
44	215	4579
45	216	4495
46	217	4411
47	218	4334
48	219	4263
49	221	4199
50	224	4172
51	225	4108
52	226	4042
53	227	3986
54	228	3928
55	229	3869
56	230	3813
57	231	3758
58	232	3705
59	233	3653
60	234	3607
61	237	3591
62	238	3545
63	239	3500
64	240	3460
65	241	3419
66	242	3378
67	243	3337
68	244	3298
69	245	3261
70	246	3222
71	247	3185
72	248	3154
73	249	3124
74	251	3098
75	253	3077
76	254	3053
77	255	3022
78	256	2993
79	258	2967
80	259	2941
81	261	2930
82	262	2898
83	263	2877
84	265	2858
85	266	2835
86	267	2812
87	269	2789
88	270	2764
89	271	2742
90	272	2721
91	273	2700
92	274	2678
93	275	2654
94	276	2635
95	277	2617
96	279	2600
97	280	2580
98	281	2560
99	282	2541
100	283	2524
101	284	2504
102	285	2487
103	286	2468
104	287	2451
105	288	2433
106	289	2415
107	290	2398
108	291	2382
109	292	2369
110	293	2353
111	294	2338
112	295	2323
113	297	2311
114	298	2297
115	299	2285
116	301	2271
117	302	2257
118	302	2242
119	303	2228
120	305	2215
121	305	2202
122	307	2190
123	308	2177
124	309	2165
125	310	2153
126	311	2139
127	312	2126
128	313	2115
129	314	2103
130	315	2090
131	315	2077
132	316	2064
133	317	2052
134	318	2041
135	319	2032
136	321	2022
137	322	2011
138	323	2002
139	324	1991
140	325	1981
141	325	1968
142	326	1958
143	327	1947
144	328	1936
145	329	1926
146	330	1915
147	330	1904
148	331	1894
149	332	1884
150	333	1875
151	334	1867
152	335	1858
153	336	1850
154	337	1841
155	338	1833
156	339	1824
157	340	1816
158	341	1807
159	342	1798
160	343	1788
161	344	1780
162	345	1771
163	345	1763
164	346	1755
165	348	1749
166	349	1743
167	351	1739
168	352	1732
169	353	1727
170	354	1720
171	355	1713
172	356	1705
173	357	1697
174	358	1689
175	359	1682
176	360	1675
177	361	1668
178	362	1662
179	363	1655
180	364	1649
181	366	1645
182	367	1638
183	368	1632
184	368	1625
185	369	1618
186	370	1612
187	371	1604
188	372	1597
189	373	1591
190	374	1584
191	375	1578
192	376	1574
193	377	1569
194	378	1564
195	379	1558
196	380	1552
197	381	1547
198	382	1541
199	383	1535
200	384	1529
201	385	1523
202	386	1517
203	387	1511
204	388	1505
205	389	1499
206	390	1496
207	392	1493
208	393	1488
209	394	1482
210	395	1477
211	396	1471
212	396	1466
213	397	1460
214	398	1455
215	399	1449
216	400	1444
217	401	1438
218	401	1433
219	402	1427
220	403	1422
221	404	1419
222	406	1415
223	407	1411
224	408	1406
225	409	1401
226	410	1396
227	410	1391
228	411	1386
229	412	1381
230	413	1376
231	414	1371
232	415	1366
233	416	1362
234	417	1359
235	418	1355
236	419	1351
237	421	1348
238	422	1344
239	423	1339
240	424	1335
241	425	1331
242	425	1326
243	426	1322
244	427	1317
245	428	1312
246	429	1308
247	429	1303
248	430	1299
249	431	1295
250	432	1291
251	433	1288
252	435	1284
253	436	1280
254	437	1277
255	438	1274
256	439	1270
257	440	1266
258	441	1262
259	442	1258
260	443	1254
261	444	1251
262	445	1247
263	445	1243
264	446	1239
265	448	1237
266	449	1233
267	450	1230
268	451	1227
269	452	1223
270	453	1219
271	454	1215
272	455	1212
273	456	1208
274	457	1204
275	457	1201
276	458	1197
277	459	1193
278	460	1190
279	461	1187
280	463	1185
281	464	1182
282	465	1179
283	466	1176
284	467	1173
285	468	1170
286	469	1167
287	470	1164
288	471	1160
289	472	1157
290	473	1154
291	474	1151
292	475	1148
293	477	1146
294	478	1143
295	479	1140
296	480	1138
297	481	1135
298	482	1131
299	483	1128
300	485	1126
301	486	1123
302	487	1120
303	488	1117
304	489	1114
305	490	1111
306	491	1109
307	492	1106
308	493	1103
309	494	1100
310	495	1098
311	497	1097
312	498	1094
313	500	1092
314	501	1090
315	502	1088
316	504	1086
317	505	1083
318	506	1081
319	507	1078
320	509	1077
321	511	1076
322	512	1074
323	513	1071
324	514	1069
325	515	1066
326	517	1064
327	518	1062
328	520	1060
329	521	1058
330	523	1057
331	525	1056
332	526	1053
333	526	1050
334	527	1048
335	529	1045
336	530	1042
337	530	1039
338	531	1037
339	534	1036
340	535	1035
341	537	1034
342	538	1032
343	540	1029
344	541	1027
345	542	1025
346	543	1022
347	544	1019
348	545	1017
349	546	1014
350	547	1012
351	549	1010
352	550	1008
353	551	1006
354	552	1003
355	554	1002
356	555	999
357	556	997
358	556	994
359	557	991
360	558	988
361	559	985
362	560	983
363	561	980
364	562	978
365	563	976
366	564	973
367	565	971
368	566	968
369	567	966
370	568	963
371	569	961
372	570	958
373	571	956
374	572	954
375	573	952
376	574	949
377	576	947
378	577	945
379	578	944
380	579	942
381	581	940
382	582	939
383	584	937
384	585	935
385	586	933
386	587	930
387	588	928
388	589	926
389	591	925
390	593	923
391	593	921
392	594	918
393	595	916
394	597	914
395	598	912
396	599	910
397	600	908
398	601	905
399	602	903
400	603	901
401	604	899
402	607	900
403	608	898
404	609	895
405	610	893
406	611	891
407	612	888
408	613	886
409	614	883
410	615	881
411	615	878
412	617	877
413	618	875
414	620	874
415	621	872
416	622	870
417	623	868
418	625	867
419	626	864
420	627	862
421	628	860
422	629	858
423	629	855
424	631	853
425	632	852
426	633	850
427	635	849
428	636	847
429	637	845
430	638	842
431	639	840
432	640	838
433	641	836
434	642	834
435	642	831
436	644	829
437	644	827
438	645	825
439	647	824
440	648	822
441	649	820
442	650	818
443	651	816
444	652	814
445	653	812
446	654	809
447	655	807
448	656	805
449	657	803
450	657	800
451	658	798
452	659	796
453	660	794
454	661	792
455	662	790
456	663	788
457	664	786
458	666	785
459	667	783
460	668	781
461	668	778
462	669	776
463	670	774
464	671	772
465	672	770
466	673	768
467	674	766
468	675	764
469	676	762
470	677	761
471	678	759
472	679	757
473	680	755
474	681	753
475	682	750
476	682	748
477	683	746
478	684	744
479	685	742
480	686	740
481	687	738
482	688	736
483	688	734
484	689	732
485	691	731
486	692	728
487	692	726
488	693	724
489	694	722
490	695	720
491	696	718
492	696	716
493	697	714
494	698	712
495	699	710
496	700	709
497	701	707
498	702	705
499	702	702
500	703	701
501	704	699
502	705	697
503	706	695
504	707	693
505	708	691
506	708	689
507	709	687
508	710	685
509	711	683
510	711	681
511	712	679
512	713	677
513	714	675
514	715	673
515	715	671
516	716	669
517	717	667
518	718	665
519	719	664
520	720	662
521	721	660
522	722	658
523	722	656
524	723	654
525	724	652
526	725	650
527	726	649
528	726	647
529	727	645
530	728	643
531	729	641
532	729	639
533	730	637
534	731	635
535	732	633
536	733	632
537	734	630
538	735	629
539	736	627
540	737	625
541	738	624
542	739	622
543	740	620
544	740	618
545	741	616
546	742	614
547	743	613
548	743	611
549	744	609
550	745	607
551	746	605
552	747	604
553	748	602
554	749	600
555	750	599
556	751	597
557	752	595
558	752	593
559	753	592
560	754	590
561	755	588
562	756	586
563	756	585
564	757	583
565	758	581
566	759	579
567	759	577
568	760	576
569	762	574
570	763	573
571	764	572
572	765	570
573	766	569
574	767	567
575	768	565
576	769	564
577	770	562
578	771	560
579	771	558
580	772	557
581	773	555
582	774	553
583	775	552
584	776	551
585	777	549
586	778	548
587	780	546
588	781	545
589	782	543
590	782	541
591	783	540
592	784	538
593	785	536
594	786	535
595	787	533
596	788	531
597	788	530
598	790	528
599	791	527
600	792	526
601	794	525
602	795	523
603	795	521
604	796	520
605	797	518
606	798	516
607	799	515
608	800	513
609	800	511
610	801	510
611	802	508
612	803	507
613	804	505
614	806	504
615	807	503
616	808	501
617	809	500
618	810	499
619	811	497
620	813	496
621	814	494
622	815	493
623	815	491
624	816	490
625	817	488
626	818	487
627	820	485
628	822	485
629	824	484
630	825	482
631	826	481
632	827	479
633	828	478
634	830	477
635	831	475
636	832	474
637	834	473
638	836	472
639	837	471
640	838	469
641	840	468
642	841	467
643	842	465
644	843	464
645	844	462
646	846	461
647	847	460
648	848	459
649	849	457
650	850	456
651	852	454
652	852	453
653	853	451
654	854	450
655	855	448
656	856	447
657	857	445
658	858	444
659	859	442
660	860	441
661	862	440
662	863	438
663	865	437
664	866	436
665	867	435
666	868	433
667	869	431
668	869	430
669	870	428
670	871	427
671	873	426
672	874	424
673	876	423
674	877	422
675	878	421
676	879	419
677	880	418
678	882	416
679	883	415
680	884	414
681	885	413
682	886	411
683	888	410
684	889	409
685	891	407
686	892	406
687	894	405
688	895	404
689	896	402
690	898	401
691	899	400
692	900	398
693	901	397
694	902	396
695	903	394
696	905	393
697	906	392
698	907	390
699	908	389
700	910	388
701	911	386
702	912	385
703	913	384
704	914	382
705	916	381
706	917	380
707	918	378
708	919	377
709	921	376
710	922	374
711	923	373
712	925	372
713	927	371
714	929	370
715	930	369
716	932	367
717	933	366
718	935	365
719	937	364
720	938	363
721	944	363
722	945	362
723	947	361
724	948	359
725	950	358
726	951	357
727	952	356
728	954	354
729	955	353
730	957	352
731	958	350
732	959	349
733	960	348
734	961	346
735	967	347
736	968	345
737	969	344
738	971	343
739	973	342
740	975	340
741	976	339
742	977	338
743	978	336
744	980	335
745	981	334
746	983	333
747	984	331
748	985	330
749	987	329
750	989	327
751	990	326
752	992	325
753	995	324
754	996	323
755	998	322
756	1001	321
757	1004	320
758	1005	319
759	1006	317
760	1009	316
761	1011	315
762	1012	314
763	1014	313
764	1015	311
765	1016	310
766	1019	309
767	1020	308
768	1022	307
769	1025	306
770	1026	304
771	1028	303
772	1030	302
773	1031	301
774	1033	300
775	1034	298
776	1038	298
777	1041	297
778	1042	295
779	1044	294
780	1045	293
781	1047	292
782	1049	290
783	1051	289
784	1053	288
785	1054	287
786	1056	285
787	1057	284
788	1058	283
789	1059	281
790	1060	280
791	1061	278
792	1064	277
793	1065	276
794	1069	275
795	1071	274
796	1072	273
797	1077	272
798	1079	271
799	1081	270
800	1087	270
801	1089	268
802	1096	269
803	1102	268
804	1103	267
805	1108	266
806	1110	265
807	1114	264
808	1126	265
809	1127	264
810	1131	263
811	1133	262
812	1135	261
813	1137	259
814	1138	258
815	1140	257
816	1142	255
817	1148	255
818	1150	254
819	1153	253
820	1154	251
821	1158	250
822	1160	249
823	1162	248
824	1164	246
825	1165	245
826	1167	244
827	1177	244
828	1178	243
829	1181	241
830	1182	240
831	1184	239
832	1186	237
833	1199	238
834	1201	237
835	1202	235
836	1205	234
837	1207	233
838	1209	232
839	1210	230
840	1212	229
841	1214	227
842	1215	226
843	1217	224
844	1221	224
845	1223	222
846	1229	222
847	1230	220
848	1232	219
849	1237	218
850	1239	217
851	1241	215
852	1243	214
853	1245	212
854	1246	211
855	1247	209
856	1249	208
857	1250	206
858	1252	205
859	1253	204
860	1254	202
861	1256	201
862	1257	199
863	1258	198
864	1259	196
865	1261	195
866	1262	193
867	1262	192
868	1264	190
869	1266	189
870	1268	187
871	1273	186
872	1274	185
873	1275	183
874	1276	182
875	1285	182
876	1287	180
877	1289	179
878	1290	177
879	1293	176
880	1298	175
881	1300	173
882	1302	172
883	1304	171
884	1305	169
885	1307	168
886	1310	166
887	1313	165
888	1316	164
889	1319	163
890	1320	161
891	1321	160
892	1323	158
893	1325	157
894	1326	155
895	1327	154
896	1329	152
897	1331	151
898	1332	149
899	1333	148
900	1334	146
901	1335	145
902	1336	143
903	1337	142
904	1338	140
905	1340	139
906	1342	137
907	1344	136
908	1345	134
909	1348	133
910	1349	131
911	1350	130
912	1351	128
913	1355	127
914	1356	126
915	1358	124
916	1360	123
917	1362	121
918	1363	120
919	1364	118
920	1365	117
921	1366	115
922	1367	114
923	1368	112
924	1370	111
925	1371	109
926	1374	108
927	1376	106
928	1378	105
929	1379	103
930	1382	102
931	1384	101
932	1386	99
933	1388	98
934	1389	96
935	1392	95
936	1393	93
937	1395	92
938	1396	90
939	1399	89
940	1401	87
941	1403	86
942	1405	84
943	1406	83
944	1408	82
945	1410	80
946	1411	79
947	1413	77
948	1415	76
949	1417	74
950	1418	73
951	1420	71
952	1422	70
953	1424	68
954	1425	67
955	1427	65
956	1429	64
957	1430	62
958	1431	61
959	1433	59
960	1434	58
961	1435	56
962	1436	55
963	1438	53
964	1439	52
965	1440	50
966	1443	49
967	1444	47
968	1446	46
969	1447	44
970	1448	43
971	1449	41
972	1451	40
973	1452	38
974	1453	37
975	1455	35
976	1457	34
977	1458	32
978	1459	31
979	1461	29
980	1462	28
981	1463	26
982	1464	25
983	1465	23
984	1467	22
985	1468	20
986	1470	19
987	1471	17
988	1473	16
989	1474	14
990	1475	13
991	1476	11
992	1478	10
993	1479	8
994	1480	7
995	1481	5
996	1482	4
997	1484	2
998	1485	1
999	1487	0
